1,Avon
2,Bedfordshire
3,Berkshire
4,Buckinghamshire
5,Cambridgeshire
6,Cheshire
7,Cleveland
8,Clwyd
9,Cornwall
10,Cumbria
11,Derbyshire
12,Devon
13,Dorset
14,Durham
15,Dyfed
16,East Sussex
17,Essex
18,Gloucestershire
19,Greater Manchester
20,Gwent and Mid Glamorgan
21,Gwynedd
22,Hampshire
23,Hereford and Worcester
24,Hertfordshire
25,Humberside
26,Isle of Wight
27,Kent
28,Lancashire
29,Leicestershire
30,Lincolnshire
31,London
32,Merseyside
33,Norfolk
34,North Yorkshire
35,Northamptonshire
36,Northern Ireland
37,Northumberland
38,Nottinghamshire
39,Oxfordshire
40,Powys
41,Scotland
42,Shropshire
43,Somerset
44,South Glamorgan
45,South Yorkshire
46,Staffordshire
47,Suffolk
48,Surrey
49,Tyne and Wear
50,Warwickshire
51,West Glamorgan
52,West Midlands
53,West Sussex
54,West Yorkshire
55,Wiltshire
